;
; ###########################################################################################################
; # CODE SUIVANT EST CHARGE pour le LEVEL 4 $7700=>$96FF (deux tracks A&B directement depuis la disquette) !
; ###########################################################################################################
;7700:4C 36 77    JMP $7736
7873:AD EB 78    LDA $78EB
7876:4A          LSR
7877:B0 03       BCS $787C
7879:EE DA 78    INC $78DA
787C:A2 00       LDX #$00
787E:A5 46       LDA $46
7880:C9 01       CMP #$01
7882:F0 02       BEQ $7886
7884:A2 04       LDX #$04
7886:B5 A3       LDA $A3,X
7888:15 A4       ORA $A4,X
788A:15 A5       ORA $A5,X
788C:D0 0B       BNE $7899
788E:95 A6       STA $A6,X
7890:85 2C       STA $2C
7892:E6 36       INC $36
7894:A9 01       LDA #$01
7896:85 44       STA $44
7898:60          RTS
7899:D6 A5       DEC $A5,X
789B:E6 90       INC $90
789D:E6 90       INC $90
789F:E6 90       INC $90
78A1:60          RTS
78A2:00          BRK
78A3:0F                   ???
78A4:30 18       BMI $78BE
78A6:1A                   ???
78A7:18          CLC
78A8:1A                   ???
78A9:18          CLC
78AA:1A                   ???
78AB:18          CLC
78AC:1A                   ???
78AD:19 1A 0F    ORA $0F1A,Y
78B0:3A                   ???
78B1:13                   ???
78B2:30 0F       BMI $78C3
78B4:1A                   ???
78B5:16 30       ASL $30,X
78B7:18          CLC
78B8:1A                   ???
78B9:19 1A 18    ORA $181A,Y
78BC:60          RTS
78BD:0F                   ???
78BE:30 18       BMI $78D8
78C0:1A                   ???
78C1:18          CLC
78C2:1A                   ???
78C3:18          CLC
78C4:1A                   ???
78C5:18          CLC
78C6:1A                   ???
78C7:19 1A 0F    ORA $0F1A,Y
78CA:3A                   ???
78CB:11 30       ORA ($30),Y
78CD:11 1A       ORA ($1A),Y
78CF:16 30       ASL $30,X
78D1:11 1A       ORA ($1A),Y
78D3:13                   ???
78D4:1A                   ???
78D5:14                   ???
78D6:1A                   ???
78D7:13                   ???
78D8:3A                   ???
78D9:FF                   ???
78DA:00          BRK
78DB:03                   ???
78DC:0F                   ???
78DD:0E 07 12    ASL $1207
78E0:01 14       ORA ($14,X)
78E2:15 0C       ORA $0C,X
78E4:01 14       ORA ($14,X)
78E6:09 0F       ORA #$0F
78E8:0E 13 FF    ASL $FF13
78EB:00          BRK
78EC:A9 00       LDA #$00
78EE:85 80       STA $80
78F0:A9 80       LDA #$80
78F2:85 81       STA $81
78F4:AE A6 13    LDX $13A6
78F7:AC A7 13    LDY $13A7
78FA:A9 80       LDA #$80
78FC:20 24 77    JSR $7724
78FF:60          RTS
7900:AD A3 13    LDA $13A3
7903:8D A7 13    STA $13A7
7906:AD A1 13    LDA $13A1
7909:8D A6 13    STA $13A6
790C:A9 00       LDA #$00
790E:8D 29 7A    STA $7A29
7911:A5 2C       LDA $2C
7913:F0 57       BEQ $796C
7915:A5 2D       LDA $2D
7917:D0 0E       BNE $7927
7919:AD A1 13    LDA $13A1
791C:C9 52       CMP #$52
791E:B0 24       BCS $7944
7920:AD A3 13    LDA $13A3
7923:C9 87       CMP #$87
7925:B0 1D       BCS $7944
7927:85 2D       STA $2D
7929:AD 98 7B    LDA $7B98
792C:18          CLC
792D:69 0B       ADC #$0B
792F:8D A1 13    STA $13A1
7932:AD 99 7B    LDA $7B99
7935:38          SEC
7936:E9 04       SBC #$04
7938:8D A3 13    STA $13A3
793B:A9 00       LDA #$00
793D:8D A2 13    STA $13A2
7940:8D A4 13    STA $13A4
7943:60          RTS
7944:A9 02       LDA #$02
7946:8D A4 13    STA $13A4
7949:AD A3 13    LDA $13A3
794C:C9 9E       CMP #$9E
794E:90 1C       BCC $796C
7950:A9 00       LDA #$00
7952:85 18       STA $18
7954:85 DF       STA $DF
7956:A9 A3       LDA #$A3
7958:8D A3 13    STA $13A3
795B:20 2A 77    JSR $772A
795E:EE 29 7A    INC $7A29
7961:E6 33       INC $33
7963:A6 46       LDX $46
7965:D6 41       DEC $41,X
7967:D0 02       BNE $796B
7969:E6 CE       INC $CE
796B:60          RTS
796C:AD A1 13    LDA $13A1
796F:18          CLC
7970:6D A2 13    ADC $13A2
7973:C9 FA       CMP #$FA
7975:90 02       BCC $7979
7977:A9 FA       LDA #$FA
7979:C9 38       CMP #$38
797B:B0 02       BCS $797F
797D:A9 38       LDA #$38
797F:8D A1 13    STA $13A1
7982:A5 D6       LDA $D6
7984:D0 0B       BNE $7991
7986:A5 18       LDA $18
7988:D0 23       BNE $79AD
798A:A5 D5       LDA $D5
798C:0A          ASL
798D:8D A2 13    STA $13A2
7990:60          RTS
7991:A5 18       LDA $18
7993:D0 18       BNE $79AD
7995:E6 61       INC $61
7997:A9 FD       LDA #$FD
7999:85 18       STA $18
799B:8D A4 13    STA $13A4
799E:A5 D5       LDA $D5
79A0:0A          ASL
79A1:8D A2 13    STA $13A2
79A4:AD A3 13    LDA $13A3
79A7:38          SEC
79A8:E9 30       SBC #$30
79AA:8D 28 7A    STA $7A28
79AD:AD A4 13    LDA $13A4
79B0:10 29       BPL $79DB
79B2:18          CLC
79B3:6D A3 13    ADC $13A3
79B6:8D A3 13    STA $13A3
79B9:38          SEC
79BA:ED 28 7A    SBC $7A28
79BD:A0 FB       LDY #$FB
79BF:C9 17       CMP #$17
79C1:B0 14       BCS $79D7
79C3:A0 FC       LDY #$FC
79C5:C9 0C       CMP #$0C
79C7:B0 0E       BCS $79D7
79C9:A0 FE       LDY #$FE
79CB:C9 04       CMP #$04
79CD:B0 08       BCS $79D7
79CF:A0 FF       LDY #$FF
79D1:C9 01       CMP #$01
79D3:B0 02       BCS $79D7
79D5:A0 01       LDY #$01
79D7:8C A4 13    STY $13A4
79DA:60          RTS
79DB:A9 A2       LDA #$A2
79DD:38          SEC
79DE:ED A3 13    SBC $13A3
79E1:C9 C8       CMP #$C8
79E3:B0 24       BCS $7A09
79E5:A0 01       LDY #$01
79E7:C9 2C       CMP #$2C
79E9:B0 0E       BCS $79F9
79EB:A0 02       LDY #$02
79ED:C9 24       CMP #$24
79EF:B0 08       BCS $79F9
79F1:A0 04       LDY #$04
79F3:C9 18       CMP #$18
79F5:B0 02       BCS $79F9
79F7:A0 05       LDY #$05
79F9:8C A4 13    STY $13A4
79FC:98          TYA
79FD:18          CLC
79FE:6D A3 13    ADC $13A3
7A01:C9 A2       CMP #$A2
7A03:B0 04       BCS $7A09
7A05:8D A3 13    STA $13A3
7A08:60          RTS
7A09:A9 00       LDA #$00
7A0B:85 18       STA $18
7A0D:8D A4 13    STA $13A4
7A10:85 D6       STA $D6
7A12:E6 69       INC $69
7A14:A9 A3       LDA #$A3
7A16:8D A3 13    STA $13A3
7A19:A5 DF       LDA $DF
7A1B:D0 01       BNE $7A1E
7A1D:60          RTS
7A1E:85 91       STA $91
7A20:8D D0 7C    STA $7CD0
7A23:A9 00       LDA #$00
7A25:85 DF       STA $DF
7A27:60          RTS
7A28:00          BRK
7A29:00          BRK
7A2A:AE A1 13    LDX $13A1
7A2D:86 DE       STX $DE
7A2F:20 09 77    JSR $7709
7A32:AC A3 13    LDY $13A3
7A35:84 DC       STY $DC
7A37:20 8E 7A    JSR $7A8E
7A3A:20 15 77    JSR $7715
7A3D:20 53 7A    JSR $7A53
7A40:AD 29 7A    LDA $7A29
7A43:F0 0D       BEQ $7A52
7A45:A9 04       LDA #$04
7A47:85 C3       STA $C3
7A49:A9 FF       LDA #$FF
7A4B:20 A8 FC    JSR $FCA8
7A4E:C6 C3       DEC $C3
7A50:D0 F7       BNE $7A49
7A52:60          RTS
7A53:A5 4B       LDA $4B
7A55:85 C3       STA $C3
7A57:A4 DC       LDY $DC
7A59:20 03 77    JSR $7703
7A5C:A2 00       LDX #$00
7A5E:A4 E5       LDY $E5
7A60:A1 E8       LDA ($E8,X)
7A62:29 7F       AND #$7F
7A64:31 4C       AND ($4C),Y
7A66:F0 02       BEQ $7A6A
7A68:85 2C       STA $2C
7A6A:A1 E8       LDA ($E8,X)
7A6C:49 FF       EOR #$FF
7A6E:31 4C       AND ($4C),Y
7A70:01 E8       ORA ($E8,X)
7A72:91 4C       STA ($4C),Y
7A74:E6 E8       INC $E8
7A76:D0 02       BNE $7A7A
7A78:E6 E9       INC $E9
7A7A:C8          INY
7A7B:C6 C3       DEC $C3
7A7D:D0 E1       BNE $7A60
7A7F:C6 DC       DEC $DC
7A81:C6 4A       DEC $4A
7A83:D0 CE       BNE $7A53
7A85:A5 36       LDA $36
7A87:F0 04       BEQ $7A8D
7A89:A9 00       LDA #$00
7A8B:85 2C       STA $2C
7A8D:60          RTS
7A8E:A5 2D       LDA $2D
7A90:D0 15       BNE $7AA7
7A92:A5 2C       LDA $2C
7A94:D0 26       BNE $7ABC
7A96:A5 18       LDA $18
7A98:D0 0D       BNE $7AA7
7A9A:AD A1 13    LDA $13A1
7A9D:29 07       AND #$07
7A9F:C9 06       CMP #$06
7AA1:B0 0B       BCS $7AAE
7AA3:C9 04       CMP #$04
7AA5:B0 0E       BCS $7AB5
7AA7:A9 1E       LDA #$1E
7AA9:A0 8C       LDY #$8C
7AAB:4C C0 7A    JMP $7AC0
7AAE:A9 40       LDA #$40
7AB0:A0 80       LDY #$80
7AB2:4C C0 7A    JMP $7AC0
7AB5:A9 30       LDA #$30
7AB7:A0 80       LDY #$80
7AB9:4C C0 7A    JMP $7AC0
7ABC:A9 2E       LDA #$2E
7ABE:A0 8C       LDY #$8C
7AC0:85 80       STA $80
7AC2:84 81       STY $81
7AC4:60          RTS
7AC5:A9 A9       LDA #$A9
7AC7:85 84       STA $84
7AC9:A9 13       LDA #$13
7ACB:85 85       STA $85
7ACD:20 F8 7A    JSR $7AF8
7AD0:20 1A 7B    JSR $7B1A
7AD3:20 0F 77    JSR $770F
7AD6:20 15 77    JSR $7715
7AD9:20 18 77    JSR $7718
7ADC:20 F8 7A    JSR $7AF8
7ADF:20 1A 7B    JSR $7B1A
7AE2:20 0F 77    JSR $770F
7AE5:20 15 77    JSR $7715
7AE8:20 18 77    JSR $7718
7AEB:20 53 7B    JSR $7B53
7AEE:20 01 7B    JSR $7B01
7AF1:20 15 77    JSR $7715
7AF4:20 18 77    JSR $7718
7AF7:60          RTS
7AF8:A9 00       LDA #$00
7AFA:85 80       STA $80
7AFC:A9 80       LDA #$80
7AFE:85 81       STA $81
7B00:60          RTS
7B01:A5 DC       LDA $DC
7B03:4A          LSR
7B04:4A          LSR
7B05:4A          LSR
7B06:4A          LSR
7B07:6A          ROR
7B08:90 07       BCC $7B11
7B0A:A9 10       LDA #$10
7B0C:A0 80       LDY #$80
7B0E:4C 15 7B    JMP $7B15
7B11:A9 20       LDA #$20
7B13:A0 80       LDY #$80
7B15:85 80       STA $80
7B17:84 81       STY $81
7B19:60          RTS
7B1A:A0 03       LDY #$03
7B1C:B1 84       LDA ($84),Y
7B1E:85 DC       STA $DC
7B20:A0 01       LDY #$01
7B22:B1 84       LDA ($84),Y
7B24:85 DE       STA $DE
7B26:A5 27       LDA $27
7B28:6A          ROR
7B29:90 0B       BCC $7B36
7B2B:A5 DE       LDA $DE
7B2D:C8          INY
7B2E:18          CLC
7B2F:71 84       ADC ($84),Y
7B31:88          DEY
7B32:91 84       STA ($84),Y
7B34:85 DE       STA $DE
7B36:A6 DE       LDX $DE
7B38:20 09 77    JSR $7709
7B3B:A0 06       LDY #$06
7B3D:A2 01       LDX #$01
7B3F:A5 DE       LDA $DE
7B41:D1 84       CMP ($84),Y
7B43:90 07       BCC $7B4C
7B45:A2 FF       LDX #$FF
7B47:C8          INY
7B48:D1 84       CMP ($84),Y
7B4A:90 05       BCC $7B51
7B4C:8A          TXA
7B4D:A0 02       LDY #$02
7B4F:91 84       STA ($84),Y
7B51:60          RTS
7B52:60          RTS
7B53:A0 01       LDY #$01
7B55:B1 84       LDA ($84),Y
7B57:85 DE       STA $DE
7B59:8D 98 7B    STA $7B98
7B5C:AA          TAX
7B5D:20 09 77    JSR $7709
7B60:A0 03       LDY #$03
7B62:B1 84       LDA ($84),Y
7B64:C8          INY
7B65:18          CLC
7B66:71 84       ADC ($84),Y
7B68:88          DEY
7B69:91 84       STA ($84),Y
7B6B:85 DC       STA $DC
7B6D:8D 99 7B    STA $7B99
7B70:A0 06       LDY #$06
7B72:A5 2D       LDA $2D
7B74:F0 0D       BEQ $7B83
7B76:A2 FF       LDX #$FF
7B78:A5 DC       LDA $DC
7B7A:D1 84       CMP ($84),Y
7B7C:B0 14       BCS $7B92
7B7E:A2 00       LDX #$00
7B80:4C 92 7B    JMP $7B92
7B83:A2 01       LDX #$01
7B85:A5 DC       LDA $DC
7B87:D1 84       CMP ($84),Y
7B89:90 07       BCC $7B92
7B8B:A2 FF       LDX #$FF
7B8D:C8          INY
7B8E:D1 84       CMP ($84),Y
7B90:90 05       BCC $7B97
7B92:8A          TXA
7B93:A0 04       LDY #$04
7B95:91 84       STA ($84),Y
7B97:60          RTS
7B98:3C                   ???
7B99:77                   ???
7B9A:A9 00       LDA #$00
7B9C:8D 7C 7C    STA $7C7C
7B9F:85 D6       STA $D6
7BA1:85 D7       STA $D7
7BA3:85 2C       STA $2C
7BA5:85 2D       STA $2D
7BA7:85 DF       STA $DF
7BA9:8D A2 78    STA $78A2
7BAC:8D DA 78    STA $78DA
7BAF:8D EB 78    STA $78EB
7BB2:85 D5       STA $D5
7BB4:85 D4       STA $D4
7BB6:A9 A0       LDA #$A0
7BB8:85 80       STA $80
7BBA:A9 13       LDA #$13
7BBC:85 81       STA $81
7BBE:A9 7D       LDA #$7D
7BC0:85 84       STA $84
7BC2:A9 7C       LDA #$7C
7BC4:85 85       STA $85
7BC6:20 21 77    JSR $7721
7BC9:20 21 77    JSR $7721
7BCC:20 21 77    JSR $7721
7BCF:20 21 77    JSR $7721
7BD2:A9 2A       LDA #$2A
7BD4:85 00       STA $00
7BD6:85 02       STA $02
7BD8:A9 55       LDA #$55
7BDA:85 01       STA $01
7BDC:85 03       STA $03
7BDE:A2 A4       LDX #$A4
7BE0:A0 C0       LDY #$C0
7BE2:20 1B 77    JSR $771B
7BE5:A9 00       LDA #$00
7BE7:85 02       STA $02
7BE9:85 03       STA $03
7BEB:A2 10       LDX #$10
7BED:A0 19       LDY #$19
7BEF:20 1B 77    JSR $771B
7BF2:A2 00       LDX #$00
7BF4:20 09 77    JSR $7709
7BF7:A9 A8       LDA #$A8
7BF9:20 2D 7C    JSR $7C2D
7BFC:A9 9A       LDA #$9A
7BFE:20 2D 7C    JSR $7C2D
7C01:A9 8C       LDA #$8C
7C03:20 2D 7C    JSR $7C2D
7C06:A9 7E       LDA #$7E
7C08:20 2D 7C    JSR $7C2D
7C0B:A9 70       LDA #$70
7C0D:20 2D 7C    JSR $7C2D
7C10:A9 62       LDA #$62
7C12:20 2D 7C    JSR $7C2D
7C15:A9 54       LDA #$54
7C17:20 2D 7C    JSR $7C2D
7C1A:A9 46       LDA #$46
7C1C:20 2D 7C    JSR $7C2D
7C1F:A9 38       LDA #$38
7C21:20 2D 7C    JSR $7C2D
7C24:A9 2A       LDA #$2A
7C26:20 2D 7C    JSR $7C2D
7C29:20 3E 7C    JSR $7C3E
7C2C:60          RTS
7C2D:85 DC       STA $DC
7C2F:A9 1C       LDA #$1C
7C31:85 80       STA $80
7C33:A9 81       LDA #$81
7C35:85 81       STA $81
7C37:20 12 77    JSR $7712
7C3A:20 18 77    JSR $7718
7C3D:60          RTS
7C3E:A9 00       LDA #$00
7C40:85 29       STA $29
7C42:A9 09       LDA #$09
7C44:85 E5       STA $E5
7C46:A9 3E       LDA #$3E
7C48:85 DC       STA $DC
7C4A:A9 59       LDA #$59
7C4C:85 80       STA $80
7C4E:A9 7C       LDA #$7C
7C50:85 81       STA $81
7C52:20 12 77    JSR $7712
7C55:20 1E 77    JSR $771E
7C58:60          RTS
7C59:21 01       AND ($01,X)
7C5B:0E 0E 0E    ASL $0E0E
7C5E:0E 0E 0E    ASL $0E0E
7C61:0E 0E 0E    ASL $0E0E
7C64:0E 0E 0E    ASL $0E0E
7C67:0E 0E 0E    ASL $0E0E
7C6A:0E 0E 0E    ASL $0E0E
7C6D:0E 0E 0E    ASL $0E0E
7C70:0E 0E 0E    ASL $0E0E
7C73:0E 0E 0E    ASL $0E0E
7C76:0E 0E 0E    ASL $0E0E
7C79:0E 0E 0E    ASL $0E0E
7C7C:00          BRK
7C7D:02                   ???
7C7E:FA                   ???
7C7F:00          BRK
7C80:A3                   ???
7C81:00          BRK
7C82:00          BRK
7C83:FA                   ???
7C84:A3                   ???
7C85:00          BRK
7C86:01 D2       ORA ($D2,X)
7C88:FF                   ???
7C89:A3                   ???
7C8A:00          BRK
7C8B:00          BRK
7C8C:A0 DC       LDY #$DC
7C8E:00          BRK
7C8F:01 9B       ORA ($9B,X)
7C91:01 A3       ORA ($A3,X)
7C93:00          BRK
7C94:00          BRK
7C95:55 91       EOR $91,X
7C97:00          BRK
7C98:01 3C       ORA ($3C,X)
7C9A:00          BRK
7C9B:54                   ???
7C9C:01 00       ORA ($00,X)
7C9E:54                   ???
7C9F:86 00       STX $00
7CA1:20 C5 7C    JSR $7CC5
7CA4:20 12 77    JSR $7712
7CA7:AD CF 7C    LDA $7CCF
7CAA:85 DC       STA $DC
7CAC:AE CE 7C    LDX $7CCE
7CAF:20 09 77    JSR $7709
7CB2:20 18 77    JSR $7718
7CB5:60          RTS
7CB6:20 C5 7C    JSR $7CC5
7CB9:AE CE 7C    LDX $7CCE
7CBC:AC CF 7C    LDY $7CCF
7CBF:A9 80       LDA #$80
7CC1:20 24 77    JSR $7724
7CC4:60          RTS
7CC5:A9 D1       LDA #$D1
7CC7:85 80       STA $80
7CC9:A9 7C       LDA #$7C
7CCB:85 81       STA $81
7CCD:60          RTS
7CCE:00          BRK
7CCF:7D 00 09    ADC $0900,X
7CD2:04                   ???
7CD3:FE F0 C0    INC $C0F0,X
7CD6:83                   ???
7CD7:98          TYA
7CD8:D8          CLD
7CD9:E1 86       SBC ($86,X)
7CDB:98          TYA
7CDC:8C B3 8C    STY $8CB3
7CDF:98          TYA
7CE0:8C B3 8C    STY $8CB3
7CE3:98          TYA
7CE4:8C B3 8C    STY $8CB3
7CE7:98          TYA
7CE8:8C B3 8C    STY $8CB3
7CEB:9E                   ???
7CEC:8C B3 8C    STY $8CB3
7CEF:9C                   ???
7CF0:D8          CLD
7CF1:E1 86       SBC ($86,X)
7CF3:98          TYA
7CF4:F0 C0       BEQ $7CB6
7CF6:83                   ???
7CF7:02                   ???
7CF8:BB                   ???
7CF9:5A                   ???
7CFA:30 5F       BMI $7D5B
7CFC:EE 3D A8    INC $A83D
7CFF:60          RTS
7D00:6D 17 78    ADC $7817
7D03:8D BC 13    STA $13BC
7D06:C8          INY
7D07:B1 80       LDA ($80),Y
7D09:18          CLC
7D0A:69 15       ADC #$15
7D0C:8D BE 13    STA $13BE
7D0F:60          RTS
7D10:20 F3 77    JSR $77F3
7D13:20 26 7D    JSR $7D26
7D16:20 0F 77    JSR $770F
7D19:20 26 7D    JSR $7D26
7D1C:20 0F 77    JSR $770F
7D1F:20 68 7D    JSR $7D68
7D22:20 3F 7D    JSR $7D3F
7D25:60          RTS
7D26:A0 00       LDY #$00
7D28:B1 84       LDA ($84),Y
7D2A:D0 01       BNE $7D2D
7D2C:60          RTS
7D2D:20 34 7D    JSR $7D34
7D30:20 2F 78    JSR $782F
7D33:60          RTS
7D34:C8          INY
7D35:B1 84       LDA ($84),Y
7D37:0A          ASL
7D38:AA          TAX
7D39:C8          INY
7D3A:C8          INY
7D3B:B1 84       LDA ($84),Y
7D3D:A8          TAY
7D3E:60          RTS
7D3F:AD A0 13    LDA $13A0
7D42:C9 08       CMP #$08
7D44:F0 21       BEQ $7D67
7D46:20 46 7C    JSR $7C46
7D49:AE A1 13    LDX $13A1
7D4C:20 09 77    JSR $7709
7D4F:AD A0 13    LDA $13A0
7D52:C9 01       CMP #$01
7D54:D0 06       BNE $7D5C
7D56:20 12 77    JSR $7712
7D59:4C 5F 7D    JMP $7D5F
7D5C:20 15 77    JSR $7715
7D5F:AD A3 13    LDA $13A3
7D62:85 DC       STA $DC
7D64:20 1B 77    JSR $771B
7D67:60          RTS
7D68:A0 00       LDY #$00
7D6A:B1 84       LDA ($84),Y
7D6C:D0 01       BNE $7D6F
7D6E:60          RTS
7D6F:C8          INY
7D70:B1 84       LDA ($84),Y
7D72:C9 EB       CMP #$EB
7D74:B0 18       BCS $7D8E
7D76:AA          TAX
7D77:C8          INY
7D78:C8          INY
7D79:B1 84       LDA ($84),Y
7D7B:85 DC       STA $DC
7D7D:A9 72       LDA #$72
7D7F:85 80       STA $80
7D81:A9 80       LDA #$80
7D83:85 81       STA $81
7D85:20 09 77    JSR $7709
7D88:20 15 77    JSR $7715
7D8B:20 1B 77    JSR $771B
7D8E:60          RTS
7D8F:AD A0 13    LDA $13A0
7D92:F0 1E       BEQ $7DB2
7D94:A9 96       LDA #$96
7D96:8D 05 7E    STA $7E05
7D99:A9 01       LDA #$01
7D9B:8D 0B 7E    STA $7E0B
7D9E:A9 05       LDA #$05
7DA0:8D 0E 7E    STA $7E0E
7DA3:A9 04       LDA #$04
7DA5:8D F9 7D    STA $7DF9
7DA8:A9 12       LDA #$12
7DAA:85 C1       STA $C1
7DAC:8D 01 7E    STA $7E01
7DAF:4C CE 7D    JMP $7DCE
7DB2:A9 41       LDA #$41
7DB4:8D 05 7E    STA $7E05
7DB7:A9 00       LDA #$00
7DB9:8D 0B 7E    STA $7E0B
7DBC:8D F8 7D    STA $7DF8
7DBF:A9 AF       LDA #$AF
7DC1:8D 0E 7E    STA $7E0E
7DC4:A9 01       LDA #$01
7DC6:8D F9 7D    STA $7DF9
7DC9:A9 C8       LDA #$C8
7DCB:8D 01 7E    STA $7E01
7DCE:A9 A0       LDA #$A0
7DD0:85 80       STA $80
7DD2:A9 13       LDA #$13
7DD4:85 81       STA $81
7DD6:A9 F9       LDA #$F9
7DD8:85 84       STA $84
7DDA:A9 7D       LDA #$7D
7DDC:85 85       STA $85
7DDE:20 1E 77    JSR $771E
7DE1:20 1E 77    JSR $771E
7DE4:20 1E 77    JSR $771E
7DE7:20 1E 77    JSR $771E
7DEA:A9 00       LDA #$00
7DEC:8D C3 13    STA $13C3
7DEF:A9 03       LDA #$03
7DF1:85 51       STA $51
7DF3:A9 18       LDA #$18
7DF5:85 50       STA $50
